timestamp,x,y,z,qx,qy,qz,qw
1756405932193485735,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1756405932293563652,0.19479167461395264,-0.126507967710495,0.6051869988441467,0.0009252822492271662,-0.0019043392967432737,-0.0020069528836756945,0.9999957084655762
1756405932393290924,-0.9092274904251099,1.4777814149856567,4.744236946105957,0.011107265949249268,-0.000991515931673348,-0.007976149208843708,0.9999060034751892
1756405932593223411,-0.9848042726516724,0.939548909664154,6.543570518493652,0.01131329033523798,-0.0019945274107158184,-0.014792035333812237,0.9998246431350708
1756405932693441688,-0.9983279705047607,0.5370226502418518,7.766922950744629,0.01155367773026228,-0.002681240439414978,-0.019556572660803795,0.9997383952140808
1756405932843157379,-1.0162655115127563,-0.29710596799850464,10.030508041381836,0.012182649224996567,-0.004110106732696295,-0.028729354962706566,0.9995045065879822
1756405932943096170,-1.0270618200302124,-0.8418251276016235,12.267134666442871,0.012333420105278492,-0.004947199020534754,-0.03723353520035744,0.999218225479126
1756405933093403546,-1.2590378522872925,-1.9012267589569092,16.044151306152344,0.012878035195171833,-0.007136909291148186,-0.05265531316399574,0.9985042214393616
1756405933193894964,-1.574568271636963,-1.7162173986434937,18.80580711364746,0.01720435544848442,-0.005288062151521444,-0.05470934510231018,0.9983400702476501
1756405933343180315,-2.149958848953247,-2.364734649658203,21.0261173248291,0.021746408194303513,-0.008856561034917831,-0.05701283738017082,0.99809730052948
1756405933443091740,-2.149958848953247,-2.364734649658203,21.0261173248291,0.021746395155787468,-0.008856614120304585,-0.05701285973191261,0.99809730052948
1756405933594257573,-2.38305926322937,-2.154505968093872,21.511110305786133,0.02075045555830002,-0.010228580795228481,-0.0609075166285038,0.9978752732276917
1756405933893226229,-2.38305926322937,-2.154505968093872,21.511110305786133,0.020750408992171288,-0.010228630155324936,-0.06090755760669708,0.9978752732276917
1756405933993730424,-2.5129451751708984,-2.2330877780914307,21.585460662841797,0.020631777122616768,-0.009913798421621323,-0.06429042667150497,0.9976686835289001
1756405934093805456,-2.518657922744751,-2.2618119716644287,21.61659812927246,0.020762955769896507,-0.009927649050951004,-0.06381756067276001,0.9976961612701416
1756405934143758086,-2.057562828063965,-1.3666267395019531,27.727222442626953,0.025761639699339867,-0.018202120438218117,-0.04719557240605354,0.9983875155448914
1756405934293428051,-5.348659515380859,-2.635486602783203,28.14436149597168,0.030248017981648445,-0.035065069794654846,-0.08713078498840332,0.9951199293136597
1756405934442958268,1.7376036643981934,0.29752326011657715,-49.43175506591797,0.018867379054427147,-0.014937960542738438,-0.09485290944576263,0.9952003955841064
1756405934543374808,0.8669102787971497,0.6234114170074463,-54.99653244018555,0.017262348905205727,-0.0198096614331007,-0.1066708043217659,0.9939471483230591
1756405934643493115,0.10791414976119995,0.7899994850158691,-60.71892166137695,0.016627734526991844,-0.02422233484685421,-0.11474480479955673,0.9929604530334473
1756405934743827544,-0.7145172953605652,1.029384970664978,-67.59751892089844,0.015589514747262001,-0.029456324875354767,-0.125161811709404,0.9915764331817627
1756405934893450357,-1.25146484375,2.016204357147217,-129.59719848632812,0.007341403979808092,-0.03350294008851051,-0.15474273264408112,0.9873592853546143
1756405935093402481,-14.475892066955566,9.244144439697266,-114.79308319091797,0.012925147078931332,-0.04056410491466522,-0.18850988149642944,0.9811480641365051
1756405935193614644,-16.505348205566406,9.46882438659668,-115.93362426757812,0.010578908026218414,-0.04692712798714638,-0.19559216499328613,0.9795047640800476
1756405935343131454,-21.984207153320312,-3.5807924270629883,-167.767333984375,-0.022262558341026306,-0.050613850355148315,-0.20586927235126495,0.9770160913467407
1756405935443544020,-24.087291717529297,-3.0663394927978516,-167.42562866210938,-0.025257904082536697,-0.05831745266914368,-0.21473802626132965,0.9746018052101135
1756405935543634561,-27.035985946655273,-2.22456431388855,-167.57383728027344,-0.028407663106918335,-0.06751130521297455,-0.22227339446544647,0.9722293019294739
