timestamp,x,y,z,qx,qy,qz,qw
1763500303449941122,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1763500303450162390,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1763500303450262309,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1763500303450376465,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1763500303450477296,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1763500303451379824,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1763500303451477128,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1763500303460179891,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1763500303460323764,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1763500303460436006,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1763500303460543820,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1763500303460636766,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1763500303460734290,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1763500303460837125,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1763500303460927977,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1763500303461031673,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1763500303461093039,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1763500303461190293,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1763500303461280453,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1763500303461367107,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1763500303461454933,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1763500303461536708,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1763500303461617331,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1763500303464864844,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1763500303477095722,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1763500303478255446,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1763500303480483601,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1763500303487101321,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1763500303491123279,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1763500303500754850,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1763500303500849980,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1763500303505838016,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1763500303510226568,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1763500303514684902,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1763500303523051440,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1763500303526129443,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1763500303529812580,0.0,0.0,0.0,0.0,0.0,0.0,1.0
